# vi: ts=30 sw=30
i909	Motor 9 Velocity-Loop Scale Factor	Motor Definition I-Variables
i1009	Motor 10 Velocity-Loop Scale Factor	Motor Definition I-Variables
i1109	Motor 11 Velocity-Loop Scale Factor	Motor Definition I-Variables
i1209	Motor 12 Velocity-Loop Scale Factor	Motor Definition I-Variables
i1309	Motor 13 Velocity-Loop Scale Factor	Motor Definition I-Variables
i1409	Motor 14 Velocity-Loop Scale Factor	Motor Definition I-Variables
i1509	Motor 15 Velocity-Loop Scale Factor	Motor Definition I-Variables
i1609	Motor 16 Velocity-Loop Scale Factor	Motor Definition I-Variables
i1709	Motor 17 Velocity-Loop Scale Factor	Motor Definition I-Variables
i1809	Motor 18 Velocity-Loop Scale Factor	Motor Definition I-Variables
i1909	Motor 19 Velocity-Loop Scale Factor	Motor Definition I-Variables
i2009	Motor 20 Velocity-Loop Scale Factor	Motor Definition I-Variables
i2109	Motor 21 Velocity-Loop Scale Factor	Motor Definition I-Variables
i2209	Motor 22 Velocity-Loop Scale Factor	Motor Definition I-Variables
i2309	Motor 23 Velocity-Loop Scale Factor	Motor Definition I-Variables
i2409	Motor 24 Velocity-Loop Scale Factor	Motor Definition I-Variables
i2509	Motor 25 Velocity-Loop Scale Factor	Motor Definition I-Variables
i2609	Motor 26 Velocity-Loop Scale Factor	Motor Definition I-Variables
i2709	Motor 27 Velocity-Loop Scale Factor	Motor Definition I-Variables
i2809	Motor 28 Velocity-Loop Scale Factor	Motor Definition I-Variables
i2909	Motor 29 Velocity-Loop Scale Factor	Motor Definition I-Variables
i3009	Motor 30 Velocity-Loop Scale Factor	Motor Definition I-Variables
i3109	Motor 31 Velocity-Loop Scale Factor	Motor Definition I-Variables
i3209	Motor 32 Velocity-Loop Scale Factor	Motor Definition I-Variables
i110	Motor 1 Power-On Servo Position Address	Motor Definition I-Variables
i210	Motor 2 Power-On Servo Position Address	Motor Definition I-Variables
i310	Motor 3 Power-On Servo Position Address	Motor Definition I-Variables
i410	Motor 4 Power-On Servo Position Address	Motor Definition I-Variables
i510	Motor 5 Power-On Servo Position Address	Motor Definition I-Variables
i610	Motor 6 Power-On Servo Position Address	Motor Definition I-Variables
i710	Motor 7 Power-On Servo Position Address	Motor Definition I-Variables
i810	Motor 8 Power-On Servo Position Address	Motor Definition I-Variables
i910	Motor 9 Power-On Servo Position Address	Motor Definition I-Variables
i1010	Motor 10 Power-On Servo Position Address	Motor Definition I-Variables
i1110	Motor 11 Power-On Servo Position Address	Motor Definition I-Variables
