# vi: ts=30 sw=30
i404	Motor 4 Velocity Loop Feedback Address	Motor Definition I-Variables	86
i504	Motor 5 Velocity Loop Feedback Address	Motor Definition I-Variables	86
i604	Motor 6 Velocity Loop Feedback Address	Motor Definition I-Variables	86
i704	Motor 7 Velocity Loop Feedback Address	Motor Definition I-Variables	86
i804	Motor 8 Velocity Loop Feedback Address	Motor Definition I-Variables	86
i904	Motor 9 Velocity Loop Feedback Address	Motor Definition I-Variables	86
i1004	Motor 10 Velocity Loop Feedback Address	Motor Definition I-Variables	86
i1104	Motor 11 Velocity Loop Feedback Address	Motor Definition I-Variables	86
i1204	Motor 12 Velocity Loop Feedback Address	Motor Definition I-Variables	86
i1304	Motor 13 Velocity Loop Feedback Address	Motor Definition I-Variables	86
i1404	Motor 14 Velocity Loop Feedback Address	Motor Definition I-Variables	86
i1504	Motor 15 Velocity Loop Feedback Address	Motor Definition I-Variables	86
i1604	Motor 16 Velocity Loop Feedback Address	Motor Definition I-Variables	86
i1704	Motor 17 Velocity Loop Feedback Address	Motor Definition I-Variables	86
i1804	Motor 18 Velocity Loop Feedback Address	Motor Definition I-Variables	86
i1904	Motor 19 Velocity Loop Feedback Address	Motor Definition I-Variables	86
i2004	Motor 20 Velocity Loop Feedback Address	Motor Definition I-Variables	86
i2104	Motor 21 Velocity Loop Feedback Address	Motor Definition I-Variables	86
i2204	Motor 22 Velocity Loop Feedback Address	Motor Definition I-Variables	86
i2304	Motor 23 Velocity Loop Feedback Address	Motor Definition I-Variables	86
i2404	Motor 24 Velocity Loop Feedback Address	Motor Definition I-Variables	86
i2504	Motor 25 Velocity Loop Feedback Address	Motor Definition I-Variables	86
i2604	Motor 26 Velocity Loop Feedback Address	Motor Definition I-Variables	86
i2704	Motor 27 Velocity Loop Feedback Address	Motor Definition I-Variables	86
i2804	Motor 28 Velocity Loop Feedback Address	Motor Definition I-Variables	86
i2904	Motor 29 Velocity Loop Feedback Address	Motor Definition I-Variables	86
i3004	Motor 30 Velocity Loop Feedback Address	Motor Definition I-Variables	86
i3104	Motor 31 Velocity Loop Feedback Address	Motor Definition I-Variables	86
i3204	Motor 32 Velocity Loop Feedback Address	Motor Definition I-Variables	86
i105	Motor 1 Master Position Address	Motor Definition I-Variables	87
i205	Motor 2 Master Position Address	Motor Definition I-Variables	87
i305	Motor 3 Master Position Address	Motor Definition I-Variables	87
i405	Motor 4 Master Position Address	Motor Definition I-Variables	87
i505	Motor 5 Master Position Address	Motor Definition I-Variables	87
i605	Motor 6 Master Position Address	Motor Definition I-Variables	87
i705	Motor 7 Master Position Address	Motor Definition I-Variables	87
i805	Motor 8 Master Position Address	Motor Definition I-Variables	87
i905	Motor 9 Master Position Address	Motor Definition I-Variables	87
i1005	Motor 10 Master Position Address	Motor Definition I-Variables	87
i1105	Motor 11 Master Position Address	Motor Definition I-Variables	87
i1205	Motor 12 Master Position Address	Motor Definition I-Variables	87
i1305	Motor 13 Master Position Address	Motor Definition I-Variables	87
i1405	Motor 14 Master Position Address	Motor Definition I-Variables	87
